Name,Brand,Taste,Date,Pic,Rating,Opmerking
Tortilla,Bouton dOr,Naturel,14/10/2024,img\chips\bouton_dor_naturel.jpg,2.0,
Chips,Brets,Vegetable,26/09/2024,img\chips\brets_vegetable.jpg,4.0,
Chips,Brets,Salt,30/09/2024,img\chips\brets_salt.jpg,4.0,
Tubes,Bouton dOr,Naturel,08/10/2024,img\chips\bouton_dor_naturel1.jpg,4.0,
Snuggles,Snack Daily,Nacho Cheese,06/10/2024,img\chips\snack_daily_nacho_cheese.jpg,5.0,
Chips,Cheetos,Cheese,10/10/2024,img\chips\cheetos_cheese1.jpg,3.0,
Chips,Brets,Cheese,29/11/2024,img\chips\brets_cheese.jpg,3.0,Jalapeno smaak goed en crunch goed zoals je verwacht van Brets. Cheddar ver te zoeken?
Chips,Lays (MAX),Paprika,03/11/2024,img\chips\lays_(max)_paprika.jpg,5.0,
Chips,Snackgold,Chorizo,05/11/2024,img\chips\snackgold_chorizo.jpg,5.0,
Chips,Brets,Bacon,16/11/2024,img\chips\brets_bacon.jpg,4.0,
Tortilla,Doritos,Paprika,17/11/2024,img\chips\doritos_paprika.jpg,5.0,
Chips,Lays (sensations),Pepper & Cream,09/11/2024,img\chips\lays_(sensations)_pepper_&_cream.jpg,5.0,
Chips,Albert Hein,Salt & Vinegar,01/11/2024,img\chips\albert_hein_salt_&_vinegar.jpg,4.0,
Tubes,Croky,Paprika,16/11/2024,img\chips\croky_paprika_1.jpg,5.0,
